93,Leonine,One-Sided Penalty,ID,"denda sepihak, denda keterlambatan hanya bagi pihak kedua, penalti sepihak",15,Medium,Hanya Anda yang dihukum jika terlambat sementara mereka bebas.,Pastikan denda berlaku adil bagi kedua belah pihak.,Unfair financial burden and lack of reciprocity in performance incentives.
94,Leonine,One-Sided Penalty,EN,"unilateral penalty, penalty applies only to, liquidated damages for one party",15,Medium,Unfair financial burden and lack of reciprocity in performance incentives.,Ensure penalties are reciprocal and fair for both parties.,Unfair financial burden and lack of reciprocity in performance incentives.
95,Leonine,One-Sided Penalty,FR,"pénalité unilatérale, la pénalité ne s'applique qu'à, dommages-intérêts unilatéraux",15,Medium,Fardeau financier injuste et manque de réciprocité.,Assurer que les pénalités sont réciproques et équitables.,Unfair financial burden and lack of reciprocity in performance incentives.
555,Leonine,All Salvage Rights to Customer,EN,"salvage, residual value, scrapped assets",20,High,The customer keeps old equipment value even if the provider paid.,Agree on a fair market value split for any residual assets.,The provider loses the entire resale value of their physical assets.
556,Leonine,All Salvage Rights to Customer,ID,"hak penyelamatan, nilai residu, aset bekas",20,High,Pelanggan menyimpan nilai peralatan lama meski penyedia yang bayar.,Sepakati pembagian nilai pasar yang wajar untuk aset sisa.,Penyedia kehilangan seluruh nilai jual kembali aset mereka.
557,Leonine,All Salvage Rights to Customer,FR,"droits de récupération, valeur résiduelle, actifs mis au rebut",20,High,Le client garde la valeur du vieux matériel payé par le fournisseur.,Convenir d'un partage de la valeur résiduelle.,Le fournisseur perd la valeur de revente de ses actifs.
558,Leonine,Provider Bears All Tax of Customer,EN,"tax indemnity, customer tax, provider pays",25,Critical,Requiring the vendor to pay the customer's corporate or income taxes.,Each party must be responsible for their own taxes as required by law.,Extreme financial burden subsidizing the client's taxes.
559,Leonine,Provider Bears All Tax of Customer,ID,"indemnitas pajak, pajak pelanggan, penyedia bayar",25,Critical,Mengharuskan vendor membayar pajak korporasi pelanggan.,Masing-masing pihak harus bertanggung jawab atas pajak sendiri.,Beban finansial ekstrem mensubsidi pajak klien.
560,Leonine,Provider Bears All Tax of Customer,FR,fournisseur supporte toutes les taxes du client,25,Critical,Exiger du vendeur qu'il paie les impôts du client.,Chaque partie doit être responsable de ses propres taxes.,Le fournisseur subventionne indûment les impôts du client.
561,Leonine,Customer Owns All Provider Knowledge,EN,"knowledge transfer, all methods, provider IP",25,Critical,Know-how the provider had before the deal now belongs to the client.,Explicitly carve out 'Background IP' from ownership transfer.,The provider can no longer work in their industry.
562,Leonine,Customer Owns All Provider Knowledge,ID,"transfer pengetahuan, semua metode, IP penyedia",25,Critical,Keahlian penyedia sebelum kesepakatan kini menjadi milik klien.,Kecualikan 'IP Latar Belakang' dari pengalihan kepemilikan.,Penyedia tidak lagi bisa bekerja di industrinya karena memberikan keahlian.
563,Leonine,Customer Owns All Provider Knowledge,FR,client possède tout le savoir-faire du fournisseur,25,Critical,Le savoir-faire préalable du fournisseur devient propriété du client.,Exclure le savoir-faire générique du transfert de propriété.,Le fournisseur ne peut plus exercer dans son secteur.
564,Leonine,Provider Guarantees Customer Profits,EN,"profit guarantee, financial performance",25,Critical,The vendor must pay the customer back if the business isn't profitable.,Limit warranties to system performance, not overall business profit.,Provider becomes an insurer for poor business decisions.
565,Leonine,Provider Guarantees Customer Profits,ID,"jaminan laba, kinerja finansial",25,Critical,Vendor harus bayar kembali pelanggan jika bisnis tidak untung.,Batasi jaminan pada kinerja sistem, bukan laba bisnis pelanggan.,Penyedia menjadi penjamin atas keputusan bisnis pelanggan yang buruk.
566,Leonine,Provider Guarantees Customer Profits,FR,fournisseur garantit les profits du client,25,Critical,Le vendeur rembourse le client si l'activité n'est pas rentable.,Limiter les garanties à la seule performance du système.,Le fournisseur devient l'assureur des mauvaises décisions du client.
567,Leonine,One-Sided Insurance Deductible,EN,"insurance, deductible, provider pays all",20,High,If there is a claim, the provider has to pay the client's portion too.,Ensure each party pays the deductible for their own policies.,Unfair financial penalty on the provider for events covered by client.
568,Leonine,One-Sided Insurance Deductible,ID,"deductible asuransi, penyedia bayar semua",20,High,Jika ada klaim, penyedia harus membayar bagian klien juga.,Pastikan setiap pihak membayar deductible untuk polis masing-masing.,Penalti finansial tidak adil bagi penyedia untuk cakupan asuransi klien.
569,Leonine,One-Sided Insurance Deductible,FR,"franchise d'assurance unilatérale, fournisseur paie tout",20,High,Le fournisseur doit aussi payer la franchise du client en cas de sinistre.,Chaque partie paie la franchise de sa propre police.,Pénalité financière injuste pour des faits assurés par le client.
570,Leonine,Provider Pays for Customer's Counsel,EN,"legal fees, customer attorney, provider pays",20,High,The provider must pay for customer's lawyers even if no dispute.,Legal fees should only be shifted to the losing party.,Direct subsidy of the customer's overhead costs.
571,Leonine,Provider Pays for Customer's Counsel,ID,"biaya hukum, pengacara pelanggan, penyedia bayar",20,High,Penyedia harus membayar pengacara pelanggan meski tidak ada sengketa.,Biaya hukum seharusnya hanya dialihkan kepada pihak yang kalah.,Subsidi langsung dari biaya overhead pelanggan oleh penyedia.
572,Leonine,Provider Pays for Customer's Counsel,FR,"fournisseur paie l'avocat du client, frais juridiques",20,High,Le fournisseur paie les avocats du client même sans litige.,Les frais ne doivent être à la charge que de la partie perdante.,Subvention directe des frais généraux du client.
573,Leonine,Exclusive Use of Provider's IP for Free,EN,"free license, exclusive, royalty-free, perpetual",25,Critical,The client uses all your technology forever without paying anymore.,Include an ongoing royalty or maintenance fee for proprietary IP.,Provider loses its primary revenue stream while customer profits.
574,Leonine,Exclusive Use of Provider's IP for Free,ID,penggunaan eksklusif IP penyedia gratis,25,Critical,Klien menggunakan semua teknologi Anda selamanya tanpa membayar lagi.,Sertakan royalti berkelanjutan untuk penggunaan IP kepemilikan.,Penyedia kehilangan aliran pendapatan utama sementara pelanggan untung.
575,Leonine,Exclusive Use of Provider's IP for Free,FR,usage exclusif de la PI du fournisseur gratuitement,25,Critical,Le client utilise la technologie pour toujours sans plus rien payer.,Inclure une redevance ou des frais de maintenance.,Le fournisseur perd sa source de revenus.
576,Leonine,One-Sided Termination Convenience,EN,"termination for convenience, one-sided exit",25,Critical,The client can leave tomorrow, but you are forced to work for 5 years.,Ensure termination for convenience rights are mutual.,Total business instability for the provider with no flexibility.
577,Leonine,One-Sided Termination Convenience,ID,pelanggan bisa batal kapan saja - penyedia tidak,25,Critical,Klien bisa pergi besok, tapi Anda dipaksa bekerja selama 5 tahun.,Pastikan hak pemutusan demi kenyamanan bersifat mutual.,Ketidakstabilan bisnis bagi penyedia tanpa fleksibilitas.
578,Leonine,One-Sided Termination Convenience,FR,client résilie à tout moment - fournisseur jamais,25,Critical,Le client peut partir demain, mais vous êtes forcé de travailler 5 ans.,S'assurer que le droit de résiliation pour convenance est mutuel.,Instabilité totale pour le fournisseur sans flexibilité.
579,Leonine,One-Sided Quality Control Discretion,EN,"quality control, sole discretion, customer approval",20,High,Only the customer decides if your work is 'good enough' without rules.,Define objective, measurable quality standards for all deliverables.,The customer can reject all work to avoid paying despite meeting specs.
580,Leonine,One-Sided Quality Control Discretion,ID,diskresi kontrol kualitas sepihak,20,High,Hanya pelanggan memutuskan apakah pekerjaan Anda 'cukup baik'.,Tentukan standar kualitas objektif dan terukur untuk hasil kerja.,Pelanggan dapat menolak semua pekerjaan untuk menghindari pembayaran.
581,Leonine,One-Sided Quality Control Discretion,FR,discrétion du contrôle qualité unilatérale,20,High,Le client seul décide si le travail est acceptable sans règles.,Définir des normes de qualité objectives et mesurables.,Le client peut rejeter tout travail pour ne pas payer.
582,Leonine,Provider Responsible for Third Party Infrastructure,EN,"third party infrastructure, ISP, cloud, provider liability",25,Critical,Making the vendor pay for failures in the internet or customer cloud.,Exclude liability for outages caused by third-party utilities.,Provider is sued for a global outage they didn't cause.
583,Leonine,Provider Responsible for Third Party Infrastructure,ID,penyedia bertanggung jawab atas infrastruktur pihak ketiga,25,Critical,Membuat vendor membayar atas kegagalan internet atau cloud pelanggan.,Kecualikan kewajiban atas pemadaman oleh utilitas pihak ketiga.,Penyedia dituntut atas pemadaman global yang bukan salah mereka.
584,Leonine,Provider Responsible for Third Party Infrastructure,FR,fournisseur responsable de l'infrastructure tierce,25,Critical,Faire payer le vendeur pour les pannes internet ou cloud du client.,Exclure la responsabilité pour les pannes causées par des tiers.,Le fournisseur est poursuivi pour une panne mondiale hors de son contrôle.
125,Leonine,One-Sided Profit Sharing,EN,"profit sharing, split, revenue share, disproportionate, 90/10",25,Critical,One party takes the vast majority of profits while the other performs all labor or cost.,"Align profit sharing percentages with actual effort, risk, and capital contribution.",Extremely poor ROI and an unsustainable partnership model leading to eventual failure.
695,Leonine,One-Sided Profit Sharing,ID,"bagi hasil, pembagian, bagi pendapatan, tidak proporsional, 90/10",25,Critical,Satu pihak mengambil sebagian besar keuntungan sementara pihak lain menanggung semua tenaga kerja atau biaya.,"Sejajarkan persentase bagi hasil dengan upaya aktual, risiko, dan kontribusi modal.",ROI yang sangat buruk dan model kemitraan yang tidak berkelanjutan yang menyebabkan kegagalan akhirnya.
696,Leonine,One-Sided Profit Sharing,FR,"partage des bénéfices, répartition, revenus, disproportionné, 90/10",25,Critical,Une partie tire la grande majorité des bénéfices alors que l'autre fournit tout le travail ou les coûts.,"Aligner les pourcentages de partage sur l'effort réel, le risque et la contribution en capital.",ROI extrêmement médiocre et modèle de partenariat non viable menant à un échec final.
126,Leonine,One-Sided Risk Allocation,EN,"liability, risk, entire risk, responsibility, sole cost",25,Critical,Allocates all operational and legal risks to one party regardless of fault or control.,Cap liability at a reasonable amount and align risk with insurance coverage and fault.,Bankruptcy risk from a single catastrophic event that the party could not have prevented.
697,Leonine,One-Sided Risk Allocation,ID,"tanggung jawab, risiko, seluruh risiko, tanggung jawab, biaya tunggal",25,Critical,Mengalokasikan semua risiko operasional dan hukum kepada satu pihak tanpa memandang kesalahan atau kendali.,Batasi tanggung jawab pada jumlah yang wajar and sejajarkan risiko dengan cakupan asuransi dan kesalahan.,Risiko kebangkrutan dari satu peristiwa katastrofik yang tidak dapat dicegah oleh pihak tersebut.
698,Leonine,One-Sided Risk Allocation,FR,"responsabilité, risque, risque total, responsabilité, coût exclusif",25,Critical,Alloue tous les risques opérationnels et juridiques à une seule partie sans égard à la faute.,Plafonner la responsabilité et aligner le risque sur la couverture d'assurance et la faute.,Risque de faillite lié à un seul événement catastrophique que la partie ne pouvait empêcher.
