84,Abusive,Unilateral Change,ID,"mengubah secara sepihak, berhak mengubah tanpa persetujuan, modifikasi sepihak",20,High,Pihak lawan bisa mengubah harga atau layanan sesuka hati.,Perubahan harus dilakukan secara tertulis melalui addendum yang disetujui bersama.,Gives one party excessive control over the contract's fundamental terms.
85,Abusive,Unilateral Change,EN,"unilateral change, sole discretion to modify, right to change without consent",20,High,Gives one party excessive control over the contract's fundamental terms.,Amendments must be in writing and signed by both parties.,Gives one party excessive control over the contract's fundamental terms.
86,Abusive,Unilateral Change,FR,"modification unilatérale, discrétion exclusive, droit de changer sans consentement",20,High,Donne à une partie un contrôle excessif sur les termes fondamentaux.,Les modifications doivent être écrites et signées par les deux parties.,Gives one party excessive control over the contract's fundamental terms.
525,Abusive,Fee for Dispute Resolution,EN,"dispute fee, payment to complain, resolution cost",20,High,Requiring a party to pay a large fee just to start a dispute process.,Remove any 'pay-to-play' barriers for legitimate disputes.,Discourages parties from raising valid concerns about quality.
526,Abusive,Fee for Dispute Resolution,ID,"biaya sengketa, bayar untuk mengadu, biaya resolusi",20,High,Mengharuskan pihak membayar biaya besar untuk memulai sengketa.,Hapus hambatan 'bayar untuk mengadu' untuk sengketa yang sah.,Mencegah para pihak menyampaikan kekhawatiran sah.
527,Abusive,Fee for Dispute Resolution,FR,"frais de litige, payer pour se plaindre, coût de résolution",20,High,Exiger d'une partie qu'elle paie pour entamer un litige.,Supprimer toute barrière financière à la résolution des litiges.,Décourage de soulever des problèmes de violation ou de qualité.
528,Abusive,No Interest on Overpayments,EN,"no interest, overpayment, refund without interest",15,Medium,The vendor keeps your extra money but pays 0% interest on return.,Require interest at a commercial rate for funds held >30 days.,Vendor uses customer overpayments as a free, interest-free loan.
529,Abusive,No Interest on Overpayments,ID,"tanpa bunga, kelebihan pembayaran, pengembalian tanpa bunga",15,Medium,Vendor menyimpan uang ekstra Anda tapi membayar bunga 0% saat kembali.,Wajibkan bunga komersial untuk dana yang ditahan >30 hari.,Vendor menggunakan kelebihan pembayaran sebagai pinjaman gratis.
530,Abusive,No Interest on Overpayments,FR,"pas d'intérêts sur trop-perçu, remboursement sans intérêt",15,Medium,Le vendeur garde le trop-perçu sans payer d'intérêts au retour.,Exiger des intérêts commerciaux pour tout fonds détenu >30 jours.,Le vendeur utilise les trop-perçus comme un prêt gratuit.
531,Abusive,Mandatory Donation to Charity,EN,"mandatory donation, charity, social cause",20,High,Forcing a partner to donate money to a specific charity the vendor likes.,Make all charitable giving voluntary and separate from the contract.,Unfairly taxing the partner and violating corporate neutrality.
532,Abusive,Mandatory Donation to Charity,ID,"donasi wajib, amal, tujuan sosial, hadiah",20,High,Memaksa mitra mendonasikan uang ke badan amal yang disukai vendor.,Buat sumbangan amal menjadi sukarela dan terpisah dari kontrak.,Membebani mitra secara tidak adil dan melanggar netralitas.
533,Abusive,Mandatory Donation to Charity,FR,"don obligatoire, œuvre caritative, don imposé",20,High,Forcer un partenaire à donner à une œuvre choisie par le vendeur.,Rendre tout don caritatif volontaire.,Taxation injuste du partenaire et violation de la neutralité.
534,Abusive,Mandatory Purchase of Add-ons,EN,"bundle, must buy, required add-on, non-essential",20,High,Requiring the customer to buy useless extra features for the core service.,Allow the customer to select and pay for only what they need.,Inflated project costs and payment for software never used.
